NAME,LONG,LAT
KOA,-156.0430,19.7371 
LBB,-101.8223,33.6653 
MFE,-98.2383,26.1808 
CVG,-84.6671,39.0490 
RIC,-77.3197,37.5055 
MYR,-78.9272,33.6844 
ACT,-97.2295,31.6111 
SYR,-76.1060,43.1115 
MMH,-118.1513,37.3637 
TXK,-94.0702,33.4482 
ANC,-149.9982,61.1744 
TLH,-84.3502,30.3968 
SJC,-121.9269,37.3657 
BUF,-78.7377,42.9404 
ELP,-106.3783,31.8076 
BHM,-86.7471,33.5633 
IAD,-77.4558,38.9531 
SHR,-104.4725,42.0597 
CHA,-85.1736,35.0355 
CWA,-89.6827,44.7765 
LAW,-98.4149,34.6070 
ABQ,-106.6090,35.0400 
ONT,-117.6052,34.0556 
FLG,-111.6731,35.1408 
JNU,-134.5702,58.3019 
PSP,-116.5053,33.8291 
SBA,-119.8380,34.4268 
LFT,-91.1493,30.2057 
GRR,-85.5224,42.8806 
MSN,-89.3370,43.1393 
MEM,-89.9770,35.0422 
AGS,-81.9644,33.3697 
OAJ,-77.6122,34.6859 
TVC,-85.5229,44.7400 
GCC,-105.5444,44.3480 
EAR,-98.2915,41.1459 
MRY,-122.5310,36.5855 
GGG,-94.7117,32.3838 
PSM,-70.8285,43.0789 
MFR,-122.8749,42.3744 
MAF,-102.1995,31.9424 
MHT,-71.4351,42.9331 
GSO,-79.9370,36.0978 
BZN,-111.1520,45.7770 
FAT,-119.7181,36.7767 
SAV,-81.1907,32.1293 
ECP,-85.7954,30.2359 
ATW,-88.5191,44.2605 
PIE,-82.5347,27.9161 
CIU,-84.4710,46.7900 
OAK,-122.2711,37.7213 
GSP,-82.2182,34.8953 
ALB,-73.8020,42.7480 
CDV,-146.7981,60.2815 
ICT,-97.4392,37.6496 
CRP,-97.4297,27.7705 
GPT,-89.0707,30.4073 
EAT,-120.5336,47.3923 
AVL,-82.5415,35.4367 
DRO,-107.7532,37.1514 
BTM,-112.4624,45.7853 
FWA,-85.1951,40.9782 
MKG,-86.2386,43.1679 
DSM,-93.6484,41.5345 
CHO,-78.4474,38.1381 
PBG,-73.4689,44.6543 
MDT,-76.7638,40.1939 
LCK,-82.8981,39.8340 
RDD,-122.2923,40.5086 
JAN,-90.0744,32.3156 
LWS,-116.9785,46.3752 
JMS,-98.7034,46.9262 
EVV,-87.5317,38.0385 
PGD,-82.0266,26.9184 
CPR,-106.4658,41.1713 
ROC,-77.6723,43.1267 
SPI,-89.6778,39.8443 
SDF,-85.7360,38.1740 
IDA,-112.0712,43.5143 
LIH,-159.3381,21.9754 
PAH,-88.7725,37.0736 
COU,-92.2193,38.8136 
HYS,-99.2905,38.8793 
FSD,-96.7481,43.5810 
LBF,-101.6745,41.1219 
GJT,-108.5286,39.1237 
TOL,-83.8046,41.5868 
ABI,-99.6811,32.4117 
FAY,-78.8801,34.9914 
SGU,-113.5102,37.0961 
FCA,-114.2583,48.3072 
SHD,-78.9756,38.2630 
HSV,-86.7742,34.6405 
AZA,-111.6572,33.3078 
DAB,-81.0581,29.1797 
ORH,-71.8759,42.2623 
EKO,-114.0709,40.8322 
ITO,-155.0484,19.7211 
ASE,-106.8776,39.2200 
EGE,-106.9192,39.6428 
HDN,-106.6977,40.4819 
ROW,-104.5206,33.3031 
SBP,-120.6417,35.2379 
FAR,-96.8253,46.9216 
MLB,-80.6457,27.9980 
HPN,-73.7103,41.0955 
USA,-99.6361,32.1046 
FAI,-147.8650,64.8152 
DLH,-92.1930,46.8427 
TRI,-82.4137,36.4754 
CYS,-105.6754,41.1456 
PIA,-89.6773,40.6643 
FNT,-83.5363,42.9655 
ILM,-77.9026,34.2705 
LIT,-92.2243,34.7294 
ACY,-74.5771,39.4573 
SGF,-93.3885,37.2407 
RHI,-89.4630,45.4677 
ROA,-79.9751,37.3260 
CSG,-84.9385,32.5166 
LAN,-84.5875,42.7778 
GUC,-106.9183,38.5358 
XNA,-94.3067,36.2817 
SUX,-96.3849,42.4021 
CLL,-96.3661,30.5887 
CRW,-81.5922,38.3739 
BIL,-108.5399,45.8072 
SIT,-135.3551,56.9728 
AEX,-92.5494,31.3270 
DBQ,-90.7093,42.4028 
CMI,-88.2784,40.0382 
MQT,-87.3951,46.3537 
ISP,-73.1002,40.7957 
ABE,-75.4396,40.6521 
TTN,-74.8275,40.2761 
BTV,-73.4669,44.4736 
LSE,-91.2615,43.8797 
SCE,-77.8467,40.8487 
LCH,-93.2246,30.1251 
ALO,-92.4001,42.5571 
HIB,-92.9367,47.4063 
MLI,-90.5074,41.4477 
BRW,-156.7884,71.2855 
GNV,-82.2717,29.6906 
MSO,-114.0915,46.9164 
RFD,-89.0975,42.1950 
MVY,-70.6212,41.3911 
ITH,-76.4586,42.4919 
OGS,-76.0328,44.6063 
BRD,-93.5351,46.4459 
YAK,-134.5821,58.3024 
PAE,-122.2830,47.9071 
CAE,-81.1197,33.9486 
VLD,-83.2762,30.7810 
PIB,-89.2582,31.3657 
JAC,-110.7397,43.6073 
SWF,-74.1040,41.5036 
EWN,-77.0425,34.6850 
DHN,-85.4493,31.3215 
KTN,-132.6000,55.3549 
PUW,-117.1382,46.7445 
CMX,-88.4823,47.1685 
BRO,-97.4296,25.9067 
SPS,-98.4930,33.9881 
HLN,-112.0460,46.6066 
GCK,-100.9020,37.9325 
BMI,-88.9155,40.0147 
YUM,-113.6719,32.6650 
MTJ,-107.8794,38.5011 
PHF,-76.3965,37.1313 
LAR,-105.6749,41.3130 
ISN,-103.6427,48.2574 
GRB,-88.1299,44.4853 
PRC,-112.4642,34.5385 
LRD,-99.1813,27.5395 
ACK,-70.0987,41.2531 
ESC,-87.1760,45.8797 
GTF,-111.3844,47.4771 
SWO,-97.0142,35.3283 
MLU,-92.0384,32.5109 
MBS,-83.9956,43.5328 
FSM,-94.3669,35.3367 
MCW,-94.2325,43.1530 
ELM,-76.8955,42.1599 
HRL,-97.6540,26.1949 
GRI,-98.3045,40.9665 
BGR,-68.4747,44.8078 
ADQ,-152.4950,57.7439 
TWF,-114.4872,42.4664 
OME,-165.4028,53.8899 
BTR,-91.1490,30.5339 
LWB,-80.3859,37.8290 
BQK,-81.5152,31.2639 
BFF,-103.5964,41.8730 
CDC,-113.0895,37.1069 
IMT,-87.6115,45.8499 
BGM,-76.0113,42.2083 
BLV,-89.8460,38.5451 
ABY,-84.2204,31.5354 
BLI,-122.5377,48.7853 
DEC,-88.8785,39.8417 
OTZ,-162.5986,66.8830 
MHK,-96.6696,39.1407 
AZO,-85.5522,42.2344 
VCT,-96.9260,28.8615 
PVU,-111.7170,40.2197 
WYS,-112.4690,44.7393 
PSG,-156.7865,56.9720 
SLN,-97.6503,38.7163 
CDB,-159.7765,55.2079 
VEL,-116.7503,41.1091 
BET,-164.7986,60.7917 
CKB,-80.2275,39.2964 
JLN,-94.4984,37.1495 
LYH,-79.2003,37.3253 
ATY,-97.0380,44.8997 
GTR,-88.5822,33.4642 
TYR,-95.4027,32.3560 
LBE,-79.5371,40.2427 
PUB,-104.5010,38.2836 
SJT,-100.4935,31.3584 
RST,-92.5001,43.9085 
DIK,-103.5797,46.7857 
DDC,-99.9775,37.7617 
SUN,-106.9067,43.5144 
MEI,-88.7481,32.3153 
CNY,-111.7183,36.0736 
BJI,-94.9144,47.5075 
IPT,-76.9205,41.2131 
LNK,-96.7587,40.8503 
INL,-93.4028,48.5661 
SCK,-121.2349,37.7744 
APN,-83.5601,45.0790 
SAF,-106.0874,35.6170 
SCC,-156.7897,70.1954 
GFK,-97.1797,47.9499 
BKG,-90.4104,39.2642 
AKN,-154.7322,58.6771 
HTS,-82.5569,38.3663 
XWA,-102.1184,38.8504 
HOB,-103.2173,32.6872 
ERI,-80.1819,42.0837 
LBL,-100.9451,37.9897 
CGI,-89.5707,37.2225 
DRT,-100.8974,29.1806 
PLN,-84.4651,45.8710 
IAG,-78.9474,43.1070 
RIW,-108.4910,42.9429 
DVL,-98.9874,48.0900 
YKM,-120.5427,46.5729 
PIR,-100.2977,44.3907 
COD,-109.0247,44.5301 
RKS,-108.4809,41.6095 
BPT,-94.0294,29.9508 
DLG,-158.4840,58.5220 
FOD,-94.1930,42.5037 
ABR,-98.4234,45.4507 
WRG,-156.7750,56.4803 
JST,-78.8331,40.3167 
SMX,-120.4589,34.8986 
OTH,-124.2343,43.4178 
HGR,-77.7222,39.7050 
OWB,-87.1806,37.7489 
PIH,-112.5965,42.9079 
ALS,-105.8691,37.2716 
ILG,-75.6077,39.6786 
TBN,-92.5728,37.6800 
HVN,-72.8954,41.2630 
HYA,-70.2804,41.6697 
STC,-94.0925,45.5547 
UIN,-91.1620,39.9463 
ART,-76.0210,44.2340 
PGV,-77.0393,35.9045 
GST,-131.6964,56.2060 
FLO,-79.7256,34.2101]  
